library,,Dask,Dask,Dask,Pandas,Pandas,Pandas,Polars,Polars,Polars,Vaex,Vaex,Vaex
version,,2022.1.0,2024.8.0,2025.1.0,1.0.0,2.0.0,2.2.3,0.20.0,1.0.0,1.31.0,4.13.0,4.15.0,4.17.0
dataset,function,,,,,,,,,,,,
US Census 1990,dropna,0.0,5.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
US Census 1990,fillna,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
US Census 1990,groupby,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
US Census 1990,isna,0.0,0.0,0.0,4.0,0.0,4.0,2.0,1.0,0.0,0.0,2.0,1.0
US Census 1990,load_csv,0.0,0.0,0.0,6.0,6.0,6.0,6.0,7.0,6.0,5.0,0.0,1.0
US Census 1990,load_json,0.0,1.0,0.0,0.0,0.0,0.0,6.0,5.0,2.0,0.0,0.0,0.0
US Census 1990,max,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
US Census 1990,mean,3.0,1.0,0.0,3.0,8.0,10.0,1.0,0.0,1.0,0.0,2.0,0.0
US Census 1990,merge,0.0,0.0,0.0,0.0,1.0,2.0,6.0,7.0,6.0,0.0,4.0,2.0
US Census 1990,min,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,3.0,1.0
US Census 1990,replace,1.0,1.0,0.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
US Census 1990,save_csv,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0
US Census 1990,save_json,1.0,5.0,3.0,1.0,4.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0
US Census 1990,sort,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0
US Census 1990,sum,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
US Census 1990,unique,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0
Water Potability,concat_dataframes,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,6.0,2.0
Water Potability,count,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,4.0
