library,dataset,version,vkey,itr,category,energy,duration
Dask,Adult,2024.8.0,v1,10,I/O,2.928886,0.315115213394165
Dask,Adult,2024.8.0,v1,10,Missing,0.001221,0.0010328292846679
Dask,Adult,2024.8.0,v1,10,Missing,0.009888,0.0015621185302734
Dask,Adult,2024.8.0,v1,10,Missing,0.013122,0.0012345314025878
Dask,Adult,2024.8.0,v1,10,Missing,0.0,0.0007233619689941
Dask,Adult,2024.8.0,v1,10,Row/Column,0.005982,0.0014209747314453
Dask,Adult,2024.8.0,v1,10,Aggregation,0.003845,0.0008032321929931
Dask,Adult,2024.8.0,v1,10,Row/Column,0.075257,0.0099632740020751
Dask,Adult,2024.8.0,v1,10,Row/Column,0.003723,0.0007035732269287
Dask,Adult,2024.8.0,v1,10,Row/Column,0.105652,0.0126330852508544
Dask,Adult,2024.8.0,v1,10,Aggregation,0.531737,0.0643653869628906
Dask,Adult,2024.8.0,v1,10,Aggregation,0.234496,0.0252506732940673
Dask,Adult,2024.8.0,v1,10,Aggregation,0.25476,0.0270280838012695
Dask,Adult,2024.8.0,v1,10,Aggregation,0.227721,0.0247938632965087
Dask,Adult,2024.8.0,v1,10,Aggregation,0.193358,0.0213174819946289
Dask,Adult,2024.8.0,v1,10,Row/Column,0.311523,0.0334265232086181
Dask,Adult,2024.8.0,v1,10,I/O,0.0,0.0003762245178222
Dask,Adult,2024.8.0,v1,10,I/O,2.341546,0.2424640655517578
Dask,Adult,2024.8.0,v1,10,I/O,3.061516,0.3425168991088867
Dask,Adult,2024.8.0,v1,10,I/O,3.126457,0.3344604969024658
Dask,Adult,2024.8.0,v1,10,Missing,0.00885,0.001009464263916
Dask,Adult,2024.8.0,v1,10,Missing,0.00763,0.0016477108001708
Dask,Adult,2024.8.0,v1,10,Missing,0.007019,0.0011713504791259
Dask,Adult,2024.8.0,v1,10,Missing,0.007568,0.0009739398956298
Dask,Adult,2024.8.0,v1,10,Row/Column,0.002502,0.0011096000671386
Dask,Adult,2024.8.0,v1,10,Aggregation,0.0,0.0005023479461669
Dask,Adult,2024.8.0,v1,10,Row/Column,0.083435,0.0099318027496337
Dask,Adult,2024.8.0,v1,10,Row/Column,0.00293,0.0005340576171875
Dask,Adult,2024.8.0,v1,10,Row/Column,0.107116,0.0124862194061279
Dask,Adult,2024.8.0,v1,10,Aggregation,0.52954,0.0654726028442382
Dask,Adult,2024.8.0,v1,10,Aggregation,0.229553,0.0251164436340332
Dask,Adult,2024.8.0,v1,10,Aggregation,0.244262,0.0269489288330078
Dask,Adult,2024.8.0,v1,10,Aggregation,0.223571,0.0244390964508056
Dask,Adult,2024.8.0,v1,10,Aggregation,0.202697,0.0216755867004394
Dask,Adult,2024.8.0,v1,10,Row/Column,0.300292,0.0335652828216552
Dask,Adult,2024.8.0,v1,10,I/O,0.0,0.0004150867462158
Dask,Adult,2024.8.0,v1,10,I/O,2.263544,0.2340598106384277
Dask,Adult,2024.8.0,v1,10,I/O,3.092765,0.3397536277770996
Dask,Adult,2024.8.0,v1,10,I/O,3.063224,0.3259944915771484
Dask,Adult,2024.8.0,v1,10,Missing,0.008545,0.000953197479248
Dask,Adult,2024.8.0,v1,10,Missing,0.007568,0.0016160011291503
Dask,Adult,2024.8.0,v1,10,Missing,0.007873,0.0012319087982177
Dask,Adult,2024.8.0,v1,10,Missing,0.00177,0.0009257793426513
Dask,Adult,2024.8.0,v1,10,Row/Column,0.008728,0.0014028549194335
Dask,Adult,2024.8.0,v1,10,Aggregation,0.003051,0.0007691383361816
Dask,Adult,2024.8.0,v1,10,Row/Column,0.083069,0.0101175308227539
Dask,Adult,2024.8.0,v1,10,Row/Column,0.002686,0.0007648468017578
Dask,Adult,2024.8.0,v1,10,Row/Column,0.103209,0.0126807689666748
Dask,Adult,2024.8.0,v1,10,Aggregation,0.528624,0.0644502639770507
Dask,Adult,2024.8.0,v1,10,Aggregation,0.234313,0.0250825881958007
Dask,Adult,2024.8.0,v1,10,Aggregation,0.243468,0.027055025100708
Dask,Adult,2024.8.0,v1,10,Aggregation,0.226745,0.0247910022735595
Dask,Adult,2024.8.0,v1,10,Aggregation,0.19397,0.0216569900512695
Dask,Adult,2024.8.0,v1,10,Row/Column,0.303406,0.033177375793457
Dask,Adult,2024.8.0,v1,10,I/O,0.0,0.0003910064697265
Dask,Adult,2024.8.0,v1,10,I/O,2.347467,0.2454140186309814
Dask,Adult,2024.8.0,v1,10,I/O,3.055961,0.337334394454956
Dask,Adult,2024.8.0,v1,10,I/O,2.955864,0.317361831665039
Dask,Adult,2024.8.0,v1,10,Missing,0.008484,0.001023530960083
Dask,Adult,2024.8.0,v1,10,Missing,0.007508,0.0016279220581054
Dask,Adult,2024.8.0,v1,10,Missing,0.008178,0.0012636184692382
Dask,Adult,2024.8.0,v1,10,Missing,0.001709,0.0009791851043701
Dask,Adult,2024.8.0,v1,10,Row/Column,0.010864,0.0013999938964843
Dask,Adult,2024.8.0,v1,10,Aggregation,0.002808,0.000802993774414
Dask,Adult,2024.8.0,v1,10,Row/Column,0.082886,0.010024070739746
Dask,Adult,2024.8.0,v1,10,Row/Column,0.002197,0.0007600784301757
Dask,Adult,2024.8.0,v1,10,Row/Column,0.100951,0.0125463008880615
Dask,Adult,2024.8.0,v1,10,Aggregation,0.527464,0.0640745162963867
Dask,Adult,2024.8.0,v1,10,Aggregation,0.233704,0.0251169204711914
Dask,Adult,2024.8.0,v1,10,Aggregation,0.256285,0.0268666744232177
Dask,Adult,2024.8.0,v1,10,Aggregation,0.230835,0.024745225906372
Dask,Adult,2024.8.0,v1,10,Aggregation,0.203125,0.021747350692749
Dask,Adult,2024.8.0,v1,10,Row/Column,0.299193,0.0332634449005126
Dask,Adult,2024.8.0,v1,10,I/O,0.010865,0.0003798007965087
Dask,Adult,2024.8.0,v1,10,I/O,2.217585,0.2353389263153076
Dask,Adult,2024.8.0,v1,10,I/O,3.076835,0.3417065143585205
Dask,Adult,2024.8.0,v1,10,I/O,2.996818,0.3291356563568115
